utterance_id	original_text	normalized_text
002_001_000005_000001		
002_001_000055_000001	快下車 快點 下車 好	快下車 快點 下車 好
002_001_000060_000001	快走	快走
002_001_000065_000001	大哥 你受傷了嗎 耀武 進輝中槍了 怎麼流那麼多血	大哥 你受傷了嗎 耀武 進輝中槍了 怎麼流那麼多血
002_001_000076_000001	來	來
002_001_000077_000001	走	走
002_001_000080_000001	小心	小心
002_001_000083_000001	走啦 耀武 幫我 快點 大哥 走啦 耀武 你現在是在做什麼	走啦 耀武 幫我 快點 大哥 走啦 耀武 你現在是在做什麼
002_001_000094_000001	來 我背你	來 我背你
002_001_000097_000001	進輝 大哥 大哥	進輝 大哥 大哥
002_001_000098_000001	大哥救我 救我	大哥救我 救我
002_001_000105_000001	大哥 他們已經找來這裡了 我們快走 我們快走 大哥 快走	大哥 他們已經找來這裡了 我們快走 我們快走 大哥 快走
002_001_000112_000001	這裡應該比較安全了	這裡應該比較安全了
002_001_000113_000001	大哥 你要去哪裡 我要去找進輝 不行啦 大哥 進輝從這麼高的地方摔下去 他已經沒命了 你找他做什麼	大哥 你要去哪裡 我要去找進輝 不行啦 大哥 進輝從這麼高的地方摔下去 他已經沒命了 你找他做什麼
002_001_000115_000001	都是你 你剛才為什麼要踹那一腳 我明明可以救進輝 我明明可以帶他回去 你怎麼可以這麼自私 把他踹下去 你怎麼可以見死不救	都是你 你剛才為什麼要踹那一腳 我明明可以救進輝 我明明可以帶他回去 你怎麼可以這麼自私 把他踹下去 你怎麼可以見死不救
002_001_000116_000001	好了啦 是 大哥 我是自私 我是見死不救 但我如果不這麼做 我們現在有可能活命嗎	好了啦 是 大哥 我是自私 我是見死不救 但我如果不這麼做 我們現在有可能活命嗎
002_001_000117_000001	講白一點 別自欺欺人 進輝中槍之後就已經沒救了 你救他做什麼	講白一點 別自欺欺人 進輝中槍之後就已經沒救了 你救他做什麼
002_001_000118_000001	大家一起死嗎 你說這是什麼話 進輝是我們的結拜兄弟 大哥	大家一起死嗎 你說這是什麼話 進輝是我們的結拜兄弟 大哥
002_001_000122_000001		
002_001_000124_000001	如果要怪 就怪進輝的命不好	如果要怪 就怪進輝的命不好
002_001_000127_000001	醫生 我拜託你 我好不容易才籌到錢 醫生 我拜託你 我拜託你救我媽 我拜託你	醫生 我拜託你 我好不容易才籌到錢 醫生 我拜託你 我拜託你救我媽 我拜託你
002_001_000175_000001	出去	出去
002_001_000291_000001		
002_001_000292_000001	子維 你快走	子維 你快走
002_001_000293_000001		
